"index","R_fighter","B_fighter","R_prob","B_prob"
0,"Frankie Edgar","Pedro Munhoz",0.5,0.5
1,"Ovince Saint Preux","Alonzo Menifield",0.5,0.5
2,"Marcin Prachnio","Mike Rodriguez",0.5,0.5
3,"Mariya Agapova","Shana Dobson",0.5,0.5
4,"Daniel Rodriguez","Takashi Sato",0.5,0.5
5,"Amanda Lemos","Mizuki Inoue",0.5,0.5
6,"Austin Hubbard","Joe Solecki",0.5,0.5
7,"Dwight Grant","Calen Born",0.5,0.5
8,"Ike Villanueva","Jordan Wright",0.5,0.5
9,"Carlton Minus","Matthew Semelsberger",0.5,0.5
10,"Timur Valiev","Mark Striegl",0.5,0.5
